##  Shared Name File  Ver. 1.1
##  File created by:  GE FANUC -- CIMPLICITY  Ver. 6.10 Build 5590
##  File created at:  09:42:16  on  05/27/2026.
## 
PT_ID,ACCESS,ACCESS_FILTER,ACK_TIMEOUT,ADDR,ADDR_OFFSET,ADDR_TYPE,ALM_CLASS,ALM_CRITERIA,ALM_DEADBAND,ALM_DELAY,ALM_ENABLE,ALM_HIGH_1,ALM_HIGH_2,ALM_HLP_FILE,ALM_LOW_1,ALM_LOW_2,ALM_MSG,ALM_ROUTE_OPER,ALM_ROUTE_SYSMGR,ALM_ROUTE_USER,ALM_SEVERITY,ALM_STR,ALM_TYPE,ALM_UPDATE_VALUE,ANALOG_DEADBAND,BFR_COUNT,BFR_DUR,BFR_EVENT_PERIOD,BFR_EVENT_PT_ID,BFR_EVENT_TYPE,BFR_EVENT_UNITS,BFR_GATE_COND,BFR_SYNC_TIME,CALC_TYPE,CONV_LIM_HIGH,CONV_LIM_LOW,CONV_TYPE,DELAY_LOAD,DELETE_REQ,DESC,DEVIATION_PT,DEVICE_ID,DISP_LIM_HIGH,DISP_LIM_LOW,DISP_TYPE,DISP_WIDTH,ELEMENTS,ENG_UNITS,ENUM_ID,EQUATION,EXTRA,FW_CONV_EQ,GR_SCREEN,INIT_VAL,JUSTIFICATION,LEVEL,LOCAL,LOG_ACK,LOG_DATA,LOG_DEL,LOG_GEN,LOG_RESET,MAX_STACKED,MEASUREMENT_UNIT_ID,MISC_FLAGS,POLL_AFTER_SET,PRECISION,PROC_ID,PTMGMT_PROC_ID,PT_ENABLED,PT_ORIGIN,PT_SET_INTERVAL,PT_SET_TIME,PT_TYPE,RANGE_HIGH,RANGE_LOW,RAW_LIM_HIGH,RAW_LIM_LOW,REP_TIMEOUT,RESET_ALLOWED,RESET_COND,RESET_PT,RESET_TIMEOUT,RESOURCE_ID,REV_CONV_EQ,ROLLOVER_VAL,SAFETY_PT,SAMPLE_INTV,SAMPLE_INTV_UNIT,SCAN_RATE,SETPOINT_HIGH,SETPOINT_LOW,TIME_OF_DAY,TRIG_CK_PT,TRIG_PT,TRIG_REL,TRIG_VAL,UAFSET,UPDATE_CRITERIA,VARIANCE_VAL,VARS
AGEN_LUBE_OIL_PRESS,W,,-1,%M3177,0,FQ,AGEN,ABS,,0,1,,1,\AGEN_LUBE_OIL_PRESS,,,Aft Generator Lube Oil Press Low,1,1,1,100,1,AL,0,0,0,0,0,,1,0,0,0,,,,NO,0,AR,Aft Generator Lube Oil Press Low,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,1,0,1,1,1,0,,00,1,,,,1,D,,,BOOL,,,,,-1,0,,,-1,$MAC_FR,,,,0,SEC,1,,,,,,NO,,,OC,,1
AGEN_LUBE_OIL_TEMP,W,,-1,%M3178,0,FQ,AGEN,ABS,,0,1,,1,\AGEN_LUBE_OIL_TEMP,,,Aft Generator Lube Oil Temp High,1,1,1,100,1,AL,0,0,0,0,0,,1,0,0,0,,,,NO,0,AR,Aft Generator Lube Oil Temp High,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,1,0,1,1,1,0,,00,1,,,,1,D,,,BOOL,,,,,-1,0,,,-1,$MAC_FR,,,,0,SEC,1,,,,,,NO,,,OC,,1
AGEN_NDE_BEAR_TEMP_HI,W,,-1,%M3301,0,FQ,AGEN,ABS,,0,1,,1,\AGEN_NDE_BEAR_TEMP_HI,,,Aft Generator NDE Bearing Temp Hi,1,1,1,100,1,AL,0,0,0,0,0,,1,0,0,0,,,,NO,0,AR,Aft Generator NDE Bearing Temp Hi,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,1,0,1,1,1,0,,00,1,,,,1,D,,,BOOL,,,,,-1,0,,,-1,$MAC_FR,,,,0,SEC,1,,,,,,NO,,,OC,,1
AGEN_NDE_BEAR_TEMP_HIHI,W,,-1,%M3308,0,FQ,AGEN,ABS,,0,1,,1,\AGEN_NDE_BEAR_TEMP_HIHI,,,Aft Generator NDE Bearing Temp Hi Hi,1,1,1,100,1,AL,0,0,0,0,0,,1,0,0,0,,,,NO,0,AR,Aft Generator NDE Bearing Temp Hi Hi,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,1,0,1,1,1,0,,00,1,,,,1,D,,,BOOL,,,,,-1,0,,,-1,$MAC_FR,,,,0,SEC,1,,,,,,NO,,,OC,,1
AGEN_RACOR_FILTER_DIRTY,W,,-1,%M3181,0,FQ,AGEN,ABS,,0,1,,1,\AGEN_RACOR_FILTER_DIRTY,,,Aft Generator Racor Filter Dirty,1,1,1,100,1,AL,0,0,0,0,0,,1,0,0,0,,,,NO,0,AR,Aft Generator Racor Filter Dirty,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,1,0,1,1,1,0,,00,1,,,,1,D,,,BOOL,,,,,-1,0,,,-1,$MAC_FR,,,,0,SEC,1,,,,,,NO,,,OC,,1
AGEN_SPARE,W,,-1,%M3184,0,FQ,AGEN,ABS,,0,1,,1,\AGEN_SPARE,,,AGEN Spare,1,1,1,100,1,AL,0,0,0,0,0,,1,0,0,0,,,,NO,0,AR,AGEN Spare,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,1,0,1,1,1,0,,00,1,,,,1,D,,,BOOL,,,,,-1,0,,,-1,$MAC_FR,,,,0,SEC,1,,,,,,NO,,,OC,,1
ALARMCOUNT,W,,,,,,,,,0,,,,,,,,,,,0,1,,0,,0,0,0,,1,0,0,0,EQU,,,,,,alarm count variable,,,,,d,,1,,,,0,,,,LEFT,0,0,,0,,,,,,00,,,,MASTER_PTM0_RP,1,G,,,INT,,,,,,,UN,,,$MAC_FR,,0,,0,,,,,,,,,,,,0,1
ALARM_ACK_BUTTON,W,,,%g0269,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Acknowledge Flag for Pilothouse Horns,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,$MAC_FR,,,,0,,5,,,,,,NO,,,OC,,1
ALARM_BOTH_SERVER_ACK,W,,,%M0069,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Cimplicity Alarm Acknowledge,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,$MAC_FR,,,,0,,1,,,,,,NO,,,OC,,1
ALARM_ECOPC1_ACK,W,,,%M0214,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Cimplicity Alarm Acknowledge,,TLIPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,TLI_SYSTEM,,,,0,,1,,,,,,NO,,,OC,,1
ALARM_ECOPC1_ACKN,W,,,%G0479,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Cimplicity Alarm Acknowledge,,TLIPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,TLI_SYSTEM,,,,0,,1,,,,,,NO,,,OC,,1
ALARM_ECOPC2_ACK,W,,,%M0215,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Cimplicity Alarm Acknowledge,,TLIPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,TLI_SYSTEM,,,,0,,1,,,,,,NO,,,OC,,1
ALARM_ECOPC2_ACKN,W,,,%G0480,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Cimplicity Alarm Acknowledge,,TLIPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,TLI_SYSTEM,,,,0,,1,,,,,,NO,,,OC,,1
ALARM_HB_PC1,W,,,%g0273,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Heartbeat for PC 1,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,$MAC_FR,,,,0,,2,,,,,,NO,,,OC,,1
ALARM_HB_PC2,W,,,%g0274,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Heartbeat for PC 2,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,$MAC_FR,,,,0,,3,,,,,,NO,,,OC,,1
ALARM_HORN_ER,W,,,%g0272,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Acknowledge Flag for Engine Room Horns,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,$MAC_FR,,,,0,,5,,,,,,NO,,,OC,,1
ALARM_HORN_ER_RESET,W,,,%g0276,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Acknowledge Flag for Engine Room Horns,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,$MAC_FR,,,,0,,1,,,,,,NO,,,OC,,1
